stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5
"420034762002",617,617,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034762003",511,512,1,1.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,2,1,1,0.00
"420034771001",617,617,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034771002",443,443,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034771003",597,597,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,6,6,0,0.00
"420034772001",363,358,5,4.84,12,17,5,0.16,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034772002",292,292,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034772003",320,316,4,3.69,0,0,0,0.00,27,31,4,0.31,0,0,0,0.00,0,0,0,0.00
"420034772004",859,857,2,1.97,0,0,0,0.00,15,17,2,0.03,0,0,0,0.00,0,0,0,0.00
"420034773001",409,422,13,10.41,52,50,2,0.20,50,39,11,1.08,0,0,0,0.00,0,0,0,0.00
"420034773002",389,386,3,2.17,104,115,11,2.13,37,31,6,0.41,7,5,2,0.03,0,0,0,0.00
"420034773003",447,447,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034773004",416,416,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034773005",694,694,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034781001",480,480,0,0.00,68,68,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034781002",328,328,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034781003",552,552,0,0.00,9,9,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034781004",531,533,2,1.96,10,8,2,0.04,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034782001",562,557,5,4.86,9,13,4,0.06,7,8,1,0.01,0,0,0,0.00,0,0,0,0.00
"420034782002",901,901,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034782003",922,922,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034790001",366,366,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034790002",483,483,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034801011",291,291,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034801012",417,417,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034801013",287,294,7,4.49,116,120,4,1.04,44,33,11,1.08,0,0,0,0.00,0,0,0,0.00
"420034801014",706,733,27,17.93,141,145,4,0.53,98,87,11,1.01,0,0,0,0.00,118,98,20,2.22
"420034801021",428,430,2,1.87,29,27,2,0.13,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034801022",484,484,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034801023",352,360,8,7.11,37,30,7,0.65,0,0,0,0.00,7,6,1,0.02,0,0,0,0.00
"420034802001",790,785,5,4.82,19,22,3,0.07,0,0,0,0.00,0,0,0,0.00,10,12,2,0.02
"420034802002",278,279,1,0.96,12,11,1,0.04,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034802003",339,338,1,0.98,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,7,8,1,0.02
"420034803001",299,299,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"420034803002",530,528,2,1.84,15,14,1,0.03,19,21,2,0.07,12,13,1,0.02,0,0,0,0.00
"420034803003",238,239,1,0.98,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,6,5,1,0.02
