stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5,adj_acs_6,sp_6,diff_6,w_diff_6,adj_acs_7,sp_7,diff_7,w_diff_7
"420034802001",0,0,0,0.00,84,79,5,0.51,143,157,14,2.44,134,139,5,0.82,226,224,2,0.55,81,71,10,0.99,151,149,2,0.37
"420034802002",7,3,4,0.10,44,36,8,1.21,30,32,2,0.21,105,123,18,6.52,11,14,3,0.11,53,43,10,1.83,40,39,1,0.14
"420034802003",0,0,0,0.00,23,24,1,0.07,56,68,12,1.94,134,118,16,6.20,34,32,2,0.20,23,26,3,0.20,76,78,2,0.44
"420034803001",7,3,4,0.09,48,45,3,0.48,43,43,0,0.00,37,33,4,0.49,84,93,9,2.53,25,31,6,0.50,55,51,4,0.74
"420034803002",0,0,0,0.00,92,86,6,0.96,74,83,9,1.16,96,104,8,1.33,120,114,6,1.25,81,77,4,0.56,113,112,1,0.20
"420034803003",9,8,1,0.04,16,19,3,0.20,73,69,4,1.20,52,55,3,0.64,15,15,0,0.00,24,25,1,0.10,55,53,2,0.45
"420034803004",0,0,0,0.00,11,11,0,0.00,81,90,9,2.23,76,86,10,2.32,71,62,9,1.95,21,19,2,0.13,67,59,8,1.64
"420034804001",0,0,0,0.00,112,121,9,1.71,56,51,5,0.47,111,114,3,0.56,110,117,7,1.30,69,67,2,0.23,133,121,12,2.70
"420034804002",0,0,0,0.00,15,13,2,0.07,51,41,10,1.14,80,83,3,0.54,84,92,8,1.50,100,89,11,2.46,118,130,12,3.16
"420034804003",0,0,0,0.00,78,67,11,1.26,98,95,3,0.43,212,231,19,5.91,109,110,1,0.16,101,98,3,0.44,84,81,3,0.37
"420034804004",14,10,4,0.11,29,31,2,0.12,94,92,2,0.38,57,50,7,0.81,166,175,9,3.04,34,40,6,0.41,98,94,4,0.80
"420034810001",26,22,4,0.27,19,16,3,0.15,68,70,2,0.36,150,150,0,0.00,66,73,7,1.21,31,31,0,0.00,21,19,2,0.11
"420034810002",29,24,5,0.42,59,69,10,1.69,60,56,4,0.69,82,70,12,2.82,101,103,2,0.58,0,0,0,0.00,18,27,9,0.46
"420034810003",40,40,0,0.00,95,106,11,2.30,46,43,3,0.30,103,91,12,2.72,70,61,9,1.39,64,72,8,1.13,36,41,5,0.40
"420034810004",6,7,1,0.02,84,86,2,0.60,21,19,2,0.15,25,24,1,0.09,106,108,2,0.76,18,15,3,0.19,20,21,1,0.07
"420034825001",40,41,1,0.05,48,45,3,0.17,110,97,13,1.65,190,175,15,3.29,168,173,5,0.97,126,159,33,4.81,183,175,8,1.69
