stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5,adj_acs_6,sp_6,diff_6,w_diff_6,adj_acs_7,sp_7,diff_7,w_diff_7
"420030406001",234,230,4,0.86,174,181,7,1.12,300,327,27,7.47,136,120,16,2.01,83,85,2,0.15,115,104,11,1.17,42,37,5,0.19
"420030409001",127,137,10,2.52,103,102,1,0.20,114,117,3,0.68,41,37,4,0.33,44,41,3,0.26,44,43,1,0.09,31,27,4,0.25
"420030409002",81,74,7,1.11,32,36,4,0.25,67,106,39,5.10,156,116,40,12.19,16,32,16,0.50,93,93,0,0.00,67,55,12,1.57
"420030409003",87,92,5,1.43,46,47,1,0.15,20,32,12,0.79,31,34,3,0.30,51,50,1,0.17,62,44,18,3.66,8,6,2,0.05
"420030501001",0,2,2,0.00,21,18,3,0.23,54,56,2,0.39,92,98,6,1.99,48,46,2,0.35,62,57,5,1.12,0,0,0,0.00
"420030501002",121,120,1,0.50,25,26,1,0.10,0,0,0,0.00,17,23,6,0.42,46,47,1,0.19,16,12,4,0.27,16,13,3,0.20
"420030501003",115,127,12,3.43,40,41,1,0.10,144,142,2,0.72,30,25,5,0.37,39,39,0,0.00,34,28,6,0.51,0,0,0,0.00
"420030506001",45,45,0,0.00,59,56,3,0.35,39,45,6,0.47,59,71,12,1.41,143,151,8,2.28,97,88,9,1.74,59,45,14,1.65
"420030506002",50,50,0,0.00,16,20,4,0.28,72,64,8,2.52,0,1,1,0.00,8,16,8,0.28,62,57,5,1.35,21,21,0,0.00
"420030506003",60,52,8,1.68,0,2,2,0.00,41,44,3,0.43,35,36,1,0.12,40,43,3,0.42,59,54,5,1.03,51,55,4,0.71
"420030509001",310,316,6,2.86,112,107,5,0.86,66,63,3,0.30,46,54,8,0.57,90,76,14,1.94,15,22,7,0.16,12,13,1,0.02
"420030510001",236,247,11,5.07,106,86,20,4.14,72,88,16,2.25,59,56,3,0.35,0,7,7,0.00,39,28,11,0.84,0,0,0,0.00
"420030510002",48,62,14,3.07,56,47,9,2.30,21,30,9,0.86,60,49,11,3.01,15,16,1,0.07,19,15,4,0.35,0,0,0,0.00
"420030511001",292,276,16,8.73,64,72,8,0.96,107,110,3,0.60,45,43,2,0.17,27,34,7,0.35,0,0,0,0.00,0,0,0,0.00
"420030603001",68,53,15,1.90,83,81,2,0.31,102,101,1,0.19,81,107,26,3.92,85,80,5,0.79,114,111,3,0.64,4,4,0,0.00
"420030603002",94,92,2,0.29,130,125,5,1.01,95,97,2,0.30,54,59,5,0.42,95,82,13,1.92,140,148,8,1.74,35,40,5,0.27
"420030605001",12,11,1,0.03,58,56,2,0.29,86,113,27,5.72,42,28,14,1.45,73,58,15,2.70,106,115,9,2.35,29,25,4,0.29
"420030605002",41,49,8,1.13,43,46,3,0.44,0,5,5,0.00,57,51,6,1.18,66,65,1,0.23,41,43,2,0.28,43,32,11,1.63
"420030703001",29,25,4,0.27,11,16,5,0.13,46,64,18,1.95,56,51,5,0.66,32,33,1,0.08,93,103,10,2.19,157,132,25,9.26
"420030703002",50,58,8,1.02,15,17,2,0.08,6,25,19,0.29,84,79,5,1.07,61,59,2,0.31,81,70,11,2.28,94,83,11,2.64
"420030703003",32,40,8,0.71,24,35,11,0.73,66,72,6,1.09,11,13,2,0.06,15,11,4,0.17,72,70,2,0.40,143,122,21,8.27
"420030705001",62,66,4,0.34,0,0,0,0.00,71,74,3,0.29,61,66,5,0.42,94,104,10,1.30,191,190,1,0.26,246,225,21,7.13
"420030705002",57,60,3,0.38,29,33,4,0.25,55,61,6,0.73,62,61,1,0.14,62,68,6,0.82,148,136,12,3.90,42,36,6,0.55
"420030705003",72,84,12,1.33,11,12,1,0.02,62,76,14,1.33,82,84,2,0.25,159,147,12,2.93,157,141,16,3.86,108,107,1,0.17
"420030706001",90,117,27,4.45,0,2,2,0.00,46,49,3,0.25,50,48,2,0.18,75,76,1,0.14,159,150,9,2.62,126,104,22,5.08
"420030706002",57,67,10,0.77,76,66,10,1.02,129,141,12,2.09,74,70,4,0.40,130,138,8,1.40,153,146,7,1.44,123,114,9,1.49
"420030708001",73,76,3,0.49,14,20,6,0.19,27,37,10,0.60,44,32,12,1.17,48,40,8,0.85,135,138,3,0.90,109,107,2,0.48
"420030708002",61,67,6,0.64,0,0,0,0.00,9,19,10,0.16,48,59,11,0.92,163,144,19,5.42,89,98,9,1.40,201,184,17,5.98
"420030709001",145,156,11,1.54,9,18,9,0.08,107,121,14,1.45,69,82,13,0.87,173,159,14,2.34,299,279,20,5.78,233,220,13,2.93
"420030709002",82,78,4,0.75,27,27,0,0.00,46,66,20,2.11,51,45,6,0.70,50,50,0,0.00,118,115,3,0.81,61,54,7,0.98
"420030709003",158,164,6,2.10,0,0,0,0.00,0,0,0,0.00,0,2,2,0.00,27,34,7,0.42,95,96,1,0.21,171,155,16,6.07
"420030709004",207,219,12,3.11,11,20,9,0.12,159,173,14,2.79,70,62,8,0.70,68,67,1,0.09,155,146,9,1.75,128,111,17,2.73
"420030802001",86,99,13,1.99,60,52,8,0.85,70,67,3,0.37,84,74,10,1.49,51,60,9,0.82,184,191,7,2.29,28,20,8,0.40
"420030802002",0,0,0,0.00,15,14,1,0.05,28,35,7,0.59,52,42,10,1.56,125,107,18,6.76,103,127,24,7.42,10,8,2,0.06
"420030804001",63,60,3,0.55,0,3,3,0.00,41,36,5,0.60,6,9,3,0.05,53,63,10,1.55,162,158,4,1.89,17,13,4,0.20
"420030804002",92,99,7,1.56,55,57,2,0.27,37,69,32,2.87,63,37,26,3.97,57,43,14,1.93,88,92,4,0.85,21,16,5,0.25
"420030806001",64,62,2,0.19,9,9,0,0.00,145,158,13,2.75,94,79,15,2.06,101,104,3,0.44,185,188,3,0.81,88,86,2,0.26
"420030806002",54,52,2,0.25,10,9,1,0.02,39,74,35,3.20,98,58,40,9.20,65,57,8,1.22,107,120,13,3.27,53,56,3,0.37
"420030807001",45,56,11,1.03,47,38,9,0.88,97,100,3,0.60,30,33,3,0.19,78,74,4,0.65,169,163,6,2.10,16,18,2,0.07
"420030807002",130,145,15,3.31,22,28,6,0.22,192,196,4,1.30,37,29,8,0.50,114,100,14,2.71,88,87,1,0.15,6,4,2,0.02
"420030809001",32,30,2,0.12,40,45,5,0.37,91,93,2,0.34,53,56,3,0.29,129,121,8,1.91,145,145,0,0.00,49,49,0,0.00
"420030809002",11,10,1,0.03,43,44,1,0.10,40,44,4,0.38,63,78,15,2.23,92,83,9,1.95,154,146,8,2.91,21,19,2,0.10
"420030901001",93,110,17,2.35,104,88,16,2.47,123,122,1,0.18,65,54,11,1.06,107,120,13,2.07,153,158,5,1.14,28,21,7,0.29
"420030901002",16,18,2,0.13,14,20,6,0.34,66,71,5,1.33,38,26,12,1.83,47,50,3,0.57,34,39,5,0.68,34,25,9,1.23
"420030902001",49,37,12,1.33,38,36,2,0.17,24,40,16,0.87,39,39,0,0.00,77,59,18,3.13,140,158,18,5.69,76,74,2,0.34
"420030902002",20,17,3,0.11,40,45,5,0.38,100,105,5,0.95,73,77,4,0.55,75,69,6,0.85,170,155,15,4.82,51,61,10,0.96
"420030902003",12,17,5,0.15,110,113,3,0.83,25,40,15,0.94,65,41,24,3.93,30,40,10,0.76,136,129,7,2.40,19,17,2,0.10
"420030903001",101,132,31,5.45,72,66,6,0.75,136,136,0,0.00,71,55,16,1.98,62,56,6,0.65,127,125,2,0.44,6,5,1,0.01
"420030903002",30,24,6,0.66,47,64,17,2.95,65,66,1,0.24,19,17,2,0.14,47,43,4,0.69,63,57,6,1.39,0,0,0,0.00
"420031005001",29,27,2,0.16,44,46,2,0.25,20,33,13,0.72,37,37,0,0.00,50,64,14,1.95,149,131,18,7.47,30,21,9,0.75
"420031005002",18,24,6,0.19,24,25,1,0.04,68,85,17,2.08,129,120,9,2.09,121,96,25,5.44,123,132,9,1.99,73,74,1,0.13
"420031011001",175,167,8,2.42,7,18,11,0.13,50,68,18,1.56,64,83,19,2.10,150,123,27,7.01,122,115,7,1.48,10,4,6,0.10
"420031011002",30,33,3,0.31,10,24,14,0.48,130,112,18,7.99,0,9,9,0.00,69,69,0,0.00,17,17,0,0.00,37,29,8,1.01
"420031011003",24,32,8,0.65,46,53,7,1.08,46,41,5,0.77,27,24,3,0.27,31,33,2,0.21,113,105,8,3.04,10,9,1,0.03
"420031014001",28,30,2,0.11,41,45,4,0.32,63,73,10,1.23,89,79,10,1.74,59,66,7,0.81,155,152,3,0.91,76,66,10,1.49
"420031014002",11,7,4,0.14,0,2,2,0.00,93,90,3,0.88,32,34,2,0.20,25,23,2,0.16,87,84,3,0.83,68,76,8,1.72
"420031014003",8,10,2,0.04,22,18,4,0.23,48,58,10,1.26,83,84,1,0.22,78,71,7,1.44,90,91,1,0.24,51,48,3,0.40
"420031014004",15,13,2,0.09,0,1,1,0.00,24,41,17,1.28,76,73,3,0.71,34,42,8,0.85,111,99,12,4.18,59,50,9,1.66
"420031016001",43,52,9,1.25,70,66,4,0.90,72,71,1,0.23,2,24,22,0.14,76,61,15,3.68,45,35,10,1.45,2,1,1,0.01
"420031017001",40,41,1,0.15,41,35,6,0.91,24,22,2,0.18,20,31,11,0.81,44,39,5,0.81,49,56,7,1.27,52,46,6,1.16
"420031017002",28,33,5,0.40,100,84,16,4.57,73,91,18,3.75,27,32,5,0.39,83,75,8,1.90,18,16,2,0.10,21,19,2,0.12
"420031018001",0,3,3,0.00,28,32,4,0.24,92,92,0,0.00,47,46,1,0.10,55,56,1,0.12,132,111,21,6.01,107,121,14,3.25
"420031018002",8,13,5,0.06,46,46,0,0.00,93,107,14,1.81,83,64,19,2.19,102,117,15,2.12,290,289,1,0.40,99,85,14,1.92
"420031102001",53,43,10,1.24,0,1,1,0.00,27,26,1,0.06,61,75,14,2.00,95,94,1,0.22,136,131,5,1.59,56,58,2,0.26
"420031102002",8,9,1,0.02,34,31,3,0.27,53,61,8,1.12,27,26,1,0.07,108,114,6,1.72,147,136,11,4.29,0,0,0,0.00
"420031102003",50,59,9,0.74,43,38,5,0.35,32,43,11,0.58,126,124,2,0.41,65,55,10,1.06,168,169,1,0.27,127,123,4,0.83
"420031102004",80,90,10,1.47,44,34,10,0.81,95,113,18,3.14,55,45,10,1.01,53,46,7,0.68,146,150,4,1.07,71,66,5,0.65
"420031106001",5,8,3,0.04,12,13,1,0.03,39,33,6,0.57,32,34,2,0.16,44,29,15,1.62,83,85,2,0.41,193,206,13,6.15
"420031106002",10,7,3,0.10,0,2,2,0.00,31,31,0,0.00,30,24,6,0.59,41,39,2,0.27,32,40,8,0.84,159,160,1,0.52
"420031106003",25,25,0,0.00,59,72,13,2.37,24,37,13,0.97,58,27,31,5.57,8,15,7,0.17,120,121,1,0.37,29,26,3,0.27
"420031113001",46,42,4,0.50,9,17,8,0.20,138,125,13,4.88,41,53,12,1.34,75,68,7,1.43,24,29,5,0.33,35,34,1,0.10
"420031113002",26,25,1,0.09,15,18,3,0.16,41,42,1,0.15,48,50,2,0.35,38,27,11,1.52,80,87,7,2.04,27,26,1,0.10
"420031113003",29,32,3,0.31,7,7,0,0.00,59,60,1,0.21,97,109,12,4.13,46,43,3,0.49,44,31,13,2.03,0,0,0,0.00
"420031113004",24,26,2,0.15,41,42,1,0.13,126,129,3,1.21,64,57,7,1.44,57,58,1,0.18,0,0,0,0.00,0,0,0,0.00
"420031114001",39,41,2,0.30,73,75,2,0.57,78,82,4,1.21,13,19,6,0.30,36,24,12,1.68,11,9,2,0.09,7,7,0,0.00
"420031114002",87,91,4,1.06,60,62,2,0.36,98,92,6,1.79,27,22,5,0.41,23,28,5,0.35,34,34,0,0.00,0,0,0,0.00
"420031115001",138,133,5,1.62,46,56,10,1.08,55,56,1,0.13,74,73,1,0.17,65,67,2,0.31,47,40,7,0.77,0,0,0,0.00
"420031115002",158,167,9,1.36,166,171,5,0.79,182,187,5,0.87,166,168,2,0.32,160,147,13,1.99,147,140,7,0.98,67,66,1,0.06
"420031115004",115,113,2,0.67,51,63,12,1.78,99,98,1,0.29,38,38,0,0.00,40,31,9,1.05,0,0,0,0.00,0,0,0,0.00
"420031203001",10,11,1,0.02,51,59,8,0.97,114,121,7,1.90,28,42,14,0.93,53,48,5,0.63,139,120,19,6.27,26,20,6,0.37
"420031203002",28,33,5,0.47,25,30,5,0.42,66,70,4,0.89,43,41,2,0.29,45,56,11,1.67,77,59,18,4.67,13,8,5,0.22
